city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Бахмут,Bakhmut,Бахмутський,UA1402,,Донецька,UA14
Бердянськ,Berdyansk,Бердянський,UA2302,,Запорізька,UA23
Біла Церква,Bila Tserkva,Білоцерківський,UA3202,,Київська,UA32
Бориспіль,Boryspil,Бориспільський,UA3204,,Київська,UA32
Боярка,Boyarka,,,,,
Бровари,Brovary,Броварський,UA3206,,Киевская,UA32
Буча,Bucha,Бучанський,UA3208,,Киевская,UA32
Васильків,Vasylkiv,Василівський,UA2304,,Запорізька,UA23
Вишгород,Vyshhorod,Вишгородський,UA3210,,Київська,UA32
Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Віта-Поштова,Vita-Poshtova,,,,,
Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
Дніпрорудне,Dniprorudne,,,,,
Дрогобич,Drohobych,Дрогобицький,UA4602,Lvivska,Львівська,UA46
Дружківка,Druzhkivka ,,,,,
Енергодар,Enerhodar,,,,,
Житомир,Zhytomyr,Житомирський,UA1804,Zhytomyrska,Житомирська,UA18
Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Івано-Франківськ,Ivano-Frankivsk,Івано-Франківський,UA2604,Ivano-Frankivska,Івано-Франківська,UA26
Ірпінь,Irpin,,,,,
Калуш,Kalush,,,,,
Кам’янець-Подільський,Kamianets-Podilskyi,Кам'янець-Подільський,UA6802,Khmelnytska,Хмельницька,UA68
Кам’янське,Kamianske,Кам’янський,UA1204,Dnipropetrovska,Дніпропетровська,UA12
Канів,Kaniv,,,,,
Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Коростень,Korosten,Коростенський,UA1806,Zhytomyrska,Житомирська,UA18
Коростишів,Korostyshiv,,,,,
Костопіль,Kostopil,,,,,
Краматорськ,Kramatorsk,Краматорський,UA1412,Donetska,Донецька,UA14
Кременчук,Kremenchuk,Кременчуцький,UA5302,Poltavska,Полтавська,UA53
Кривий Ріг,Kryvyi Rih,,,,,
Кропивницький,Kropyvnytskyi,Кропивницький,UA3504,Kirovohradska,Кіровоградська,UA35
Лиманка,Lymanka,,,,,
Лисичанськ,Lysychansk,,,,,
Лісники,Lisnyaky,,,,,
Лозова,Lozova,,,,,
Луцьк,Lutsk,Луцький,UA0708,Volynska,Волинська,UA07
Львів,Lviv,Львівський,UA4606,Lvivska,Львівська,UA46
Малин,Malyn,,,,,
Маріуполь,Mariupol,Маріупольський,UA1414,Donetska,Донецька,UA14
Мелітополь,Melitopol,Мелітопольський,UA2308,Zaporizka,Запорізька,UA23
Миколаїв,Mykolaiv,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Миргород,Myrhorod (Mirgorod),Миргородський,UA5306,Poltavska,Полтавська,UA53
Мукачево,Mukachevo,,,,,
Нетішин,Netishyn,,,,,
Ніжин,Nizhyn,,,,,
Новий Розділ,Novyi Rozdil ,,,,,
Обухів,Obukhiv,Обухівський,UA3212,Kyivska,Київська,UA32
Овідіополь,Ovidiopol,,,,,
Одеса,Odesa,Одеський,UA5110,Odeska,Одеська,UA51
Остер,Oster,,,,,
Павлоград,Pavlohrad,Павлоградський,UA1212,Dnipropetrovska,Дніпропетровська,UA12
Полтава,Poltava,Полтавський,UA5308,Poltavska,Полтавська,UA53
Прилуки,Pryluky,Прилуцький,UA7408,Chernihivska,Чернігівська,UA74
Радомишль,Radomyshl,,,,,
Рівне,Rivne,Рівненський,UA5606,Rivnenska,Рівненська,UA56
Самбір,Sambir,Самбірський,UA4608,Lvivska,Львівська,UA46
Сєвєродонецьк,Severodonetsk,Сєвєродонецький,UA4412,Luhanska,Луганська,UA44
Славутич,Slavutich,,,,,
Сміла,Smila,,,,,
Софіївська Борщагівка,Sofiyivska Borshchahivka,,,,,
Старі Петрівці,Stari Petrivtsi,,,,,
Стоянка,Stoyanka,,,,,
Стрий,Stryi,,,,,
Суми,Sumy,,,,Сумська,UA59
Теплодар,Teplodar,,,,,
Тернопіль,Ternopil ,,,,,
Трускавець,Truskavets,,,,,
Ужгород,Uzhhorod,,,,,
Умань,Uman,,,,,
Фастів,Fastiv,,,,,
Харків,Kharkiv,Харківський,UA6312,Kharkivska,Харківська,UA63
Херсон,Kherson,Херсонський,UA6510,Khersonska,Херсонська,UA65
Хмельницький,Khmelnytskyi,Хмельницький,UA6804,Khmelnytska,Хмельницька,UA68
Хмільник,Khmilnyk ,,,,,
Черкаси,Cherkasy,,,,,
Чернівці,Chernivtsi,Чернівецький,UA7306,Chernivetska,Чернівецька,UA73
Чернігів,Chernihivska,Чернігівський,UA7410,Chernihivska,Чернігівська,UA74
Щасливе,Shchaslyve,,,,,
Южне,Yuzhne,,,,,
Южноукраїнськ,Yuzhnoukrainsk,,,,,
